ID,Name,State,PROJECTs_List,Description
2292,Work1,On,"['project_one', 'project_three', 'project_five', 'project_one', 'project_three', 'project_five', 'project_one', 'project_three', 'project_five', 'project_one', 'project_three', 'project_five', 'project_one', 'project_three', 'project_five', 'project_one', 'project_three', 'project_five', 'project_one', 'project_three', 'project_five', 'project_one', 'project_three', 'project_five', 'project_one', 'project_three', 'project_five', 'project_one', 'project_three', 'project_five', 'project_one', 'project_three', 'project_five']", 1all projects that relate to Work at Intel go here
2296,Work2,On,"['project_two', 'project_four', 'project_two', 'project_four', 'project_two', 'project_four', 'project_two', 'project_four', 'project_two', 'project_four', 'project_two', 'project_four', 'project_two', 'project_four', 'project_two', 'project_four', 'project_two', 'project_four', 'project_two', 'project_four', 'project_two', 'project_four']", 2all projects that relate to Work at Intel go here
2312,Work11,On,"['project_one1', 'project_three1', 'project_five1', 'project_one1', 'project_three1', 'project_five1', 'project_one1', 'project_three1', 'project_five1', 'project_one1', 'project_three1', 'project_five1', 'project_one1', 'project_three1', 'project_five1', 'project_one1', 'project_three1', 'project_five1', 'project_one1', 'project_three1', 'project_five1', 'project_one1', 'project_three1', 'project_five1', 'project_one1', 'project_three1', 'project_five1', 'project_one1', 'project_three1', 'project_five1']", 11all projects that relate to Work at Intel go here
2314,Work21,On,"['project_two1', 'project_four1', 'project_two1', 'project_four1', 'project_two1', 'project_four1', 'project_two1', 'project_four1', 'project_two1', 'project_four1', 'project_two1', 'project_four1', 'project_two1', 'project_four1', 'project_two1', 'project_four1', 'project_two1', 'project_four1', 'project_two1', 'project_four1']", 21all projects that relate to Work at Intel go here
2332,Work1,On,[], 1all projects that relate to Work at Intel go here
2336,Work2,On,[], 2all projects that relate to Work at Intel go here
2347,Work1,On,[], 1all projects that relate to Work at Intel go here
2351,Work2,On,[], 2all projects that relate to Work at Intel go here
2367,Work11,On,[], 11all projects that relate to Work at Intel go here
2369,Work21,On,[], 21all projects that relate to Work at Intel go here
2387,Work1,On,[], 1all projects that relate to Work at Intel go here
2391,Work2,On,[], 2all projects that relate to Work at Intel go here
2407,Work11,On,[], 11all projects that relate to Work at Intel go here
2409,Work21,On,[], 21all projects that relate to Work at Intel go here
2427,Work1,On,[], 1all projects that relate to Work at Intel go here
2431,Work2,On,[], 2all projects that relate to Work at Intel go here
2447,Work11,On,[], 11all projects that relate to Work at Intel go here
2449,Work21,On,[], 21all projects that relate to Work at Intel go here
2467,Work1,On,[], 1all projects that relate to Work at Intel go here
2471,Work2,On,[], 2all projects that relate to Work at Intel go here
2487,Work11,On,[], 11all projects that relate to Work at Intel go here
2489,Work21,On,[], 21all projects that relate to Work at Intel go here
2507,Work1,On,[], 1all projects that relate to Work at Intel go here
2511,Work2,On,[], 2all projects that relate to Work at Intel go here
2527,Work11,On,[], 11all projects that relate to Work at Intel go here
2529,Work21,On,[], 21all projects that relate to Work at Intel go here
2547,Work1,On,[], 1all projects that relate to Work at Intel go here
2551,Work2,On,[], 2all projects that relate to Work at Intel go here
2567,Work11,On,[], 11all projects that relate to Work at Intel go here
2569,Work21,On,[], 21all projects that relate to Work at Intel go here
2587,Work1,On,[], 1all projects that relate to Work at Intel go here
2589,Work1,On,[], 1all projects that relate to Work at Intel go here
2591,Work1,On,[], 1all projects that relate to Work at Intel go here
2595,Work2,On,[], 2all projects that relate to Work at Intel go here
2611,Work11,On,[], 11all projects that relate to Work at Intel go here
2613,Work21,On,[], 21all projects that relate to Work at Intel go here
2631,Work1,On,[], 1all projects that relate to Work at Intel go here
2635,Work2,On,[], 2all projects that relate to Work at Intel go here
2651,Work11,On,[], 11all projects that relate to Work at Intel go here
2653,Work21,On,[], 21all projects that relate to Work at Intel go here
2671,Work1,On,[], 1all projects that relate to Work at Intel go here
2673,Work1,On,[], 1all projects that relate to Work at Intel go here
2675,Work1,On,[], 1all projects that relate to Work at Intel go here
2677,Work1,On,[], 1all projects that relate to Work at Intel go here
2679,Work1,On,[], 1all projects that relate to Work at Intel go here
2681,Work1,On,[], 1all projects that relate to Work at Intel go here
2683,Work1,On,[], 1all projects that relate to Work at Intel go here
2685,Work1,On,[], 1all projects that relate to Work at Intel go here
2687,Work1,On,[], 1all projects that relate to Work at Intel go here
2689,Work1,On,[], 1all projects that relate to Work at Intel go here
2691,Work1,On,[], 1all projects that relate to Work at Intel go here
2693,Work1,On,[], 1all projects that relate to Work at Intel go here
2695,Work1,On,[], 1all projects that relate to Work at Intel go here
2697,Work1,On,[], 1all projects that relate to Work at Intel go here
2699,Work1,On,[], 1all projects that relate to Work at Intel go here
2701,Work1,On,[], 1all projects that relate to Work at Intel go here
2705,Work2,On,[], 2all projects that relate to Work at Intel go here
2721,Work11,On,[], 11all projects that relate to Work at Intel go here
2723,Work21,On,[], 21all projects that relate to Work at Intel go here
2741,Work1,On,[], 1all projects that relate to Work at Intel go here
2743,Work1,On,[], 1all projects that relate to Work at Intel go here
2745,Work1,On,[], 1all projects that relate to Work at Intel go here
2747,Work1,On,[], 1all projects that relate to Work at Intel go here
2749,Work1,On,[], 1all projects that relate to Work at Intel go here
2751,Work1,On,[], 1all projects that relate to Work at Intel go here
2753,Work1,On,[], 1all projects that relate to Work at Intel go here
2755,Work1,On,[], 1all projects that relate to Work at Intel go here
2757,Work1,On,[], 1all projects that relate to Work at Intel go here
