ID,Description,End_Date,End_Time,PROJECT,Start_Date,State,TASK
2295, one this is some activity related to a taask,17ww26.Sat,,2293,17ww26.Sat,Started,
2305, one this is some activity related to a taask,17ww26.Sat,,,17ww26.Sat,Started,2302
2306, two this is some activity related to a taask,,,2300,17ww26.Sat,OnHold,
2307, three this is some activity related to a taask,,,2297,17ww26.Sat,Started,
2308, four this is some activity related to a taask,,,,17ww26.Sat,Started,2302
2309, five this is some activity related to a taask,17ww18.Fri,,,17ww26.Sat,Ended,2304
2310, six this is some activity related to a taask,17ww18.Fri,,,17ww26.Sat,Ended,2294
2311, seven this is some activity related to a taask,17ww27.Tue,,,17ww26.Sat,Ended,2303
2324, one1 this is some activity related to a taask,17ww26.Sat,,,17ww26.Sat,Ended,2302
2325, two1 this is some activity related to a taask,17ww23.Fri,,2300,17ww26.Sat,Ended,
2326, three1 this is some activity related to a taask,17ww13.Sun,,,17ww26.Sat,Ended,2319
2327, four1 this is some activity related to a taask,17ww27.Tue,,2300,17ww26.Sat,Ended,
2328, five1 this is some activity related to a taask,17ww20.Mon,,,17ww26.Sat,Started,2294
2329, six1 this is some activity related to a taask,17ww13.Sun,,,17ww26.Sat,Ended,2294
2330, seven1 this is some activity related to a taask,17ww17.Tue,,2298,17ww26.Sat,Ended,
2335, one this is some activity related to a taask,17ww27.Tue,,,17ww26.Sat,Ended,2304
2345, one this is some activity related to a taask,17ww23.Fri,,2340,17ww26.Sat,Ended,
2350, one this is some activity related to a taask,17ww23.Fri,,,17ww26.Sat,Ended,2341
2360, one this is some activity related to a taask,17ww20.Mon,,2293,17ww26.Sat,Ended,
2361, two this is some activity related to a taask,,,,17ww26.Sat,Started,2323
2362, three this is some activity related to a taask,17ww26.Sat,,2299,17ww26.Sat,Started,
2363, four this is some activity related to a taask,,,2354,17ww26.Sat,Started,
2364, five this is some activity related to a taask,17ww13.Sun,,,17ww26.Sat,Ended,2358
2365, six this is some activity related to a taask,,,2316,17ww26.Sat,Started,
2366, seven this is some activity related to a taask,17ww18.Fri,,,17ww26.Sat,Ended,2343
2379, one1 this is some activity related to a taask,17ww27.Sun,,,17ww26.Sat,Started,2359
2380, two1 this is some activity related to a taask,17ww27.Tue,,2300,17ww26.Sat,Started,
2381, three1 this is some activity related to a taask,17ww26.Sat,,2318,17ww26.Sat,Ended,
2382, four1 this is some activity related to a taask,,,,17ww26.Sat,Started,2374
2383, five1 this is some activity related to a taask,17ww27.Sun,,2370,17ww26.Sat,Ended,
2384, six1 this is some activity related to a taask,,,,17ww26.Sat,Started,2343
2385, seven1 this is some activity related to a taask,17ww26.Sat,,2371,17ww26.Sat,Ended,
2390, one this is some activity related to a taask,,,,17ww26.Sat,Started,2341
2400, one this is some activity related to a taask,17ww27.Fri,,2395,17ww26.Sat,Started,
2401, two this is some activity related to a taask,17ww26.Sat,,2348,17ww26.Sat,Ended,
2402, three this is some activity related to a taask,17ww13.Sun,,,17ww26.Sat,Ended,2322
2403, four this is some activity related to a taask,17ww26.Sat,,,17ww26.Sat,Ended,2396
2404, five this is some activity related to a taask,17ww13.Sun,,2392,17ww26.Sat,Ended,
2405, six this is some activity related to a taask,,,,17ww26.Sat,Started,2397
2406, seven this is some activity related to a taask,17ww23.Fri,,2333,17ww26.Sat,Ended,
2419, one1 this is some activity related to a taask,17ww26.Sat,,,17ww26.Sat,Started,2378
2420, two1 this is some activity related to a taask,17ww27.Fri,,,17ww26.Sat,Ended,2323
2421, three1 this is some activity related to a taask,17ww27.Tue,,2410,17ww26.Sat,Started,
2422, four1 this is some activity related to a taask,,,2337,17ww26.Sat,Started,
2423, five1 this is some activity related to a taask,17ww13.Sun,,2368,17ww26.Sat,Ended,
2424, six1 this is some activity related to a taask,17ww26.Sat,,,17ww26.Sat,Ended,2301
2425, seven1 this is some activity related to a taask,17ww27.Sun,,,17ww26.Sat,Ended,2334
2430, one this is some activity related to a taask,17ww27.Tue,,,17ww26.Sat,Ended,2334
2440, one this is some activity related to a taask,,,,17ww26.Sat,Started,2377
2441, two this is some activity related to a taask,,,2412,17ww26.Sat,Started,
2442, three this is some activity related to a taask,,,2373,17ww26.Sat,OnHold,
2443, four this is some activity related to a taask,17ww26.Sat,,,17ww26.Sat,Ended,2436
2444, five this is some activity related to a taask,,,,17ww26.Sat,Started,2343
2445, six this is some activity related to a taask,17ww18.Fri,,,17ww26.Sat,Ended,2377
2446, seven this is some activity related to a taask,17ww23.Fri,,,17ww26.Sat,Ended,2438
2459, one1 this is some activity related to a taask,17ww26.Sat,,2333,17ww26.Sat,Started,
2460, two1 this is some activity related to a taask,17ww17.Tue,,,17ww26.Sat,Started,2377
2461, three1 this is some activity related to a taask,,,2354,17ww26.Sat,Started,
2462, four1 this is some activity related to a taask,17ww23.Fri,,,17ww26.Sat,Ended,2436
2463, five1 this is some activity related to a taask,17ww26.Sat,,,17ww26.Sat,Ended,2343
2464, six1 this is some activity related to a taask,,,,17ww26.Sat,Started,2320
2465, seven1 this is some activity related to a taask,17ww27.Tue,,2451,17ww26.Sat,Started,
2470, one this is some activity related to a taask,17ww20.Mon,,2450,17ww26.Sat,Started,
2480, one this is some activity related to a taask,17ww26.Sat,,,17ww26.Sat,OnHold,2439
2481, two this is some activity related to a taask,17ww26.Sat,,,17ww26.Sat,Started,2389
2482, three this is some activity related to a taask,17ww27.Tue,,2293,17ww26.Sat,OnHold,
2483, four this is some activity related to a taask,,,,17ww26.Sat,Started,2374
2484, five this is some activity related to a taask,17ww27.Sat,,2371,17ww26.Sat,Ended,
2485, six this is some activity related to a taask,17ww23.Fri,,2348,17ww26.Sat,Ended,
2486, seven this is some activity related to a taask,,,,17ww26.Sat,OnHold,2476
2499, one1 this is some activity related to a taask,,,2299,17ww26.Sat,Started,
2500, two1 this is some activity related to a taask,17ww23.Fri,,,17ww26.Sat,Ended,2476
2501, three1 this is some activity related to a taask,17ww17.Tue,,2313,17ww26.Sat,Ended,
2502, four1 this is some activity related to a taask,17ww23.Fri,,2313,17ww26.Sat,Ended,
2503, five1 this is some activity related to a taask,17ww17.Tue,,,17ww26.Sat,Ended,2323
2504, six1 this is some activity related to a taask,17ww27.Sat,,2451,17ww26.Sat,Started,
2505, seven1 this is some activity related to a taask,17ww26.Sat,,,17ww26.Sat,Ended,2375
2510, one this is some activity related to a taask,,,2451,17ww26.Sat,Started,
2520, one this is some activity related to a taask,17ww27.Tue,,,17ww26.Sat,OnHold,2399
2521, two this is some activity related to a taask,,,2428,17ww26.Sat,Started,
2522, three this is some activity related to a taask,17ww27.Sun,,2412,17ww26.Sat,OnHold,
2523, four this is some activity related to a taask,17ww18.Fri,,2474,17ww26.Sat,Ended,
2524, five this is some activity related to a taask,,,,17ww26.Sat,OnHold,2495
2525, six this is some activity related to a taask,17ww27.Sun,,,17ww26.Sat,Started,2516
2526, seven this is some activity related to a taask,,,2352,17ww26.Sat,OnHold,
2539, one1 this is some activity related to a taask,17ww27.Tue,,2450,17ww26.Sat,Ended,
2540, two1 this is some activity related to a taask,17ww27.Tue,,,17ww26.Sat,Ended,2319
2541, three1 this is some activity related to a taask,,,,17ww26.Sat,OnHold,2357
2542, four1 this is some activity related to a taask,17ww27.Tue,,2337,17ww26.Sat,Ended,
2543, five1 this is some activity related to a taask,17ww20.Mon,,2435,17ww26.Sat,Ended,
2544, six1 this is some activity related to a taask,17ww27.Sun,,2333,17ww26.Sat,OnHold,
2545, seven1 this is some activity related to a taask,17ww13.Sun,,,17ww26.Sat,Ended,2356
2550, one this is some activity related to a taask,17ww20.Mon,,,17ww26.Sat,Ended,2358
2560, one this is some activity related to a taask,17ww27.Tue,,,17ww26.Sat,Ended,2359
2561, two this is some activity related to a taask,17ww13.Sun,,2473,17ww26.Sat,OnHold,
2562, three this is some activity related to a taask,17ww27.Fri,,,17ww26.Sat,Ended,2294
2563, four this is some activity related to a taask,17ww27.Tue,,,17ww26.Sat,Ended,2478
2564, five this is some activity related to a taask,17ww27.Tue,,2352,17ww26.Sat,Started,
2565, six this is some activity related to a taask,,,,17ww26.Sat,Started,2437
2566, seven this is some activity related to a taask,17ww26.Sat,,,17ww26.Sat,OnHold,2342
2579, one1 this is some activity related to a taask,17ww27.Sun,,2533,17ww26.Sat,Ended,
2580, two1 this is some activity related to a taask,,,,17ww26.Sat,Started,2319
2581, three1 this is some activity related to a taask,,,,17ww26.Sat,OnHold,2458
2582, four1 this is some activity related to a taask,,,2433,17ww26.Sat,OnHold,
2583, five1 this is some activity related to a taask,17ww26.Sat,,2428,17ww26.Sat,OnHold,
2584, six1 this is some activity related to a taask,,,2432,17ww26.Sat,OnHold,
2585, seven1 this is some activity related to a taask,17ww27.Sat,,2355,17ww26.Sat,Started,
2594, one this is some activity related to a taask,,,2508,17ww26.Sat,Started,
2604, one this is some activity related to a taask,17ww27.Tue,,2592,17ww26.Sat,Started,
2605, two this is some activity related to a taask,,,,17ww26.Sat,Started,2603
2606, three this is some activity related to a taask,17ww27.Sat,,2596,17ww26.Sat,Ended,
2607, four this is some activity related to a taask,17ww20.Mon,,,17ww26.Sat,Ended,2418
2608, five this is some activity related to a taask,17ww26.Sat,,,17ww26.Sat,OnHold,2556
2609, six this is some activity related to a taask,,,,17ww26.Sat,Started,2397
2610, seven this is some activity related to a taask,,,2299,17ww26.Sat,OnHold,
2623, one1 this is some activity related to a taask,,,,17ww26.Sat,Started,2457
2624, two1 this is some activity related to a taask,17ww27.Tue,,,17ww26.Sat,Ended,2436
2625, three1 this is some activity related to a taask,17ww20.Mon,,2528,17ww26.Sat,Started,
2626, four1 this is some activity related to a taask,17ww27.Tue,,,17ww26.Sat,Started,2302
2627, five1 this is some activity related to a taask,17ww17.Tue,,2412,17ww26.Sat,Ended,
2628, six1 this is some activity related to a taask,17ww13.Sun,,,17ww26.Sat,Ended,2374
2629, seven1 this is some activity related to a taask,,,,17ww26.Sat,OnHold,2519
2634, one this is some activity related to a taask,,,,17ww26.Sat,Started,2319
2644, one this is some activity related to a taask,17ww27.Tue,,,17ww26.Sat,Ended,2557
2645, two this is some activity related to a taask,17ww27.Sat,,,17ww26.Sat,Ended,2343
2646, three this is some activity related to a taask,17ww27.Sun,,,17ww26.Sat,Ended,2343
2647, four this is some activity related to a taask,17ww27.Sun,,2298,17ww26.Sat,Ended,
2648, five this is some activity related to a taask,,,2555,17ww26.Sat,Started,
2649, six this is some activity related to a taask,,,2475,17ww26.Sat,Started,
2650, seven this is some activity related to a taask,,,2368,17ww26.Sat,OnHold,
2663, one1 this is some activity related to a taask,17ww27.Fri,,,17ww26.Sat,Ended,2415
2664, two1 this is some activity related to a taask,17ww27.Sat,,,17ww26.Sat,Ended,2334
2665, three1 this is some activity related to a taask,17ww27.Sat,,,17ww26.Sat,Ended,2643
2666, four1 this is some activity related to a taask,,,2372,17ww26.Sat,OnHold,
2667, five1 this is some activity related to a taask,17ww27.Tue,,2572,17ww26.Sat,Started,
2668, six1 this is some activity related to a taask,17ww18.Fri,,,17ww26.Sat,Ended,2658
2669, seven1 this is some activity related to a taask,17ww13.Sun,,2300,17ww26.Sat,Ended,
2704, one this is some activity related to a taask,,,,17ww27.Sun,Started,2389
2714, one this is some activity related to a taask,17ww27.Fri,,,17ww27.Sun,Ended,2662
2715, two this is some activity related to a taask,,,,17ww27.Sun,OnHold,2703
2716, three this is some activity related to a taask,17ww23.Fri,,,17ww27.Sun,Ended,2601
2717, four this is some activity related to a taask,17ww27.Tue,,2612,17ww27.Sun,Ended,
2718, five this is some activity related to a taask,,,,17ww27.Sun,Started,2710
2719, six this is some activity related to a taask,17ww17.Tue,,2372,17ww27.Sun,Ended,
2720, seven this is some activity related to a taask,17ww18.Fri,,,17ww27.Sun,Started,2429
2733, one1 this is some activity related to a taask,17ww17.Tue,,,17ww27.Sun,Ended,2334
2734, two1 this is some activity related to a taask,17ww20.Mon,,2709,17ww27.Sun,Ended,
2735, three1 this is some activity related to a taask,17ww27.Tue,,2597,17ww27.Sun,OnHold,
2736, four1 this is some activity related to a taask,,,2370,17ww27.Sun,OnHold,
2737, five1 this is some activity related to a taask,17ww27.Sat,,,17ww27.Sun,Ended,2349
2738, six1 this is some activity related to a taask,17ww20.Mon,,,17ww27.Sun,Started,2396
2739, seven1 this is some activity related to a taask,,,,17ww27.Sun,OnHold,2343
2802, one this is some activity related to a taask,,,2316,17ww27.Tue,OnHold,
2812, one this is some activity related to a taask,17ww27.Sat,,2315,17ww27.Tue,Ended,
2813, two this is some activity related to a taask,17ww27.Sat,,,17ww27.Tue,Ended,2808
2814, three this is some activity related to a taask,,,,17ww27.Tue,Started,2344
2815, four this is some activity related to a taask,17ww17.Tue,,,17ww27.Tue,Started,2633
2816, five this is some activity related to a taask,,,,17ww27.Tue,Started,2496
2817, six this is some activity related to a taask,,,,17ww27.Tue,OnHold,2618
